customer_id,acquired_date,city,segment
C00001,2026-06-13,Bengaluru,Occasional
C00002,2026-03-04,Delhi NCR,Occasional
C00003,2026-06-23,Pune,Occasional
C00004,2026-06-01,Mumbai,New
C00005,2026-02-25,Delhi NCR,Occasional
C00006,2026-05-24,Delhi NCR,Occasional
C00007,2026-05-20,Mumbai,Occasional
C00008,2026-03-13,Jaipur,New
C00009,2026-02-10,Pune,New
C00010,2026-02-09,Delhi NCR,Occasional
C00011,2026-01-27,Bengaluru,New
C00012,2026-03-30,Hyderabad,Loyal
C00013,2026-04-28,Hyderabad,High Value
C00014,2026-04-07,Bengaluru,New
C00015,2026-06-10,Hyderabad,Loyal
C00016,2026-05-28,Delhi NCR,New
C00017,2026-06-19,Delhi NCR,New
C00018,2026-01-21,Lucknow,Loyal
C00019,2026-04-08,Delhi NCR,Occasional
C00020,2026-04-04,Bengaluru,New
C00021,2026-06-21,Delhi NCR,Loyal
C00022,2026-06-15,Bengaluru,Occasional
C00023,2026-05-17,Pune,New
C00024,2026-04-08,Delhi NCR,Loyal
C00025,2026-06-26,Hyderabad,Occasional
C00026,2026-01-15,Delhi NCR,New
C00027,2026-03-22,Mumbai,New
C00028,2026-05-26,Lucknow,New
C00029,2026-06-17,Mumbai,Loyal
C00030,2026-06-14,Mumbai,New
C00031,2026-03-05,Pune,Occasional
C00032,2026-05-30,Mumbai,Occasional
C00033,2026-04-03,Delhi NCR,High Value
C00034,2026-05-11,Mumbai,Occasional
C00035,2026-01-29,Bengaluru,New
C00036,2026-06-24,Mumbai,New
C00037,2026-04-08,Hyderabad,Occasional
C00038,2026-03-06,Indore,Loyal
C00039,2026-01-03,Pune,New
C00040,2026-05-18,Pune,Occasional
C00041,2026-03-29,Bengaluru,Occasional
C00042,2026-04-27,Bengaluru,Occasional
C00043,2026-03-09,Indore,Occasional
C00044,2026-05-10,Lucknow,Loyal
C00045,2026-03-18,Lucknow,Occasional
C00046,2026-02-20,Bengaluru,Occasional
C00047,2026-05-19,Indore,Loyal
C00048,2026-01-01,Hyderabad,Occasional
C00049,2026-01-29,Indore,Loyal
C00050,2026-03-20,Delhi NCR,New
C00051,2026-05-26,Indore,New
C00052,2026-05-05,Jaipur,High Value
C00053,2026-05-17,Jaipur,New
C00054,2026-05-02,Indore,New
C00055,2026-05-16,Lucknow,Occasional
C00056,2026-02-24,Indore,Occasional
C00057,2026-06-26,Delhi NCR,New
C00058,2026-06-21,Hyderabad,Occasional
C00059,2026-05-13,Mumbai,New
C00060,2026-01-17,Delhi NCR,Occasional
C00061,2026-02-28,Hyderabad,New
C00062,2026-06-11,Bengaluru,New
C00063,2026-01-09,Lucknow,New
C00064,2026-03-02,Delhi NCR,Occasional
C00065,2026-05-19,Bengaluru,Loyal
C00066,2026-05-27,Hyderabad,New
C00067,2026-05-02,Jaipur,New
C00068,2026-01-25,Hyderabad,New
C00069,2026-04-16,Mumbai,Occasional
C00070,2026-06-22,Hyderabad,Occasional
C00071,2026-01-16,Mumbai,New
C00072,2026-01-28,Delhi NCR,New
C00073,2026-04-25,Bengaluru,New
C00074,2026-04-29,Delhi NCR,Loyal
C00075,2026-04-24,Jaipur,Loyal
C00076,2026-01-26,Bengaluru,High Value
C00077,2026-01-04,Indore,Loyal
C00078,2026-03-02,Bengaluru,Occasional
