event_date,session_id,customer_id,city,segment,channel,device,category,experiment_group,revenue,event_type
2026-01-01,S0000001,C04443,Lucknow,New,Influencer,Android,Footwear,control,0,visit
2026-01-01,S0000001,C04443,Lucknow,New,Influencer,Android,Footwear,control,0,product_view
2026-01-01,S0000002,C01963,Bengaluru,New,Push,iOS,Women Ethnic,control,0,visit
2026-01-01,S0000002,C01963,Bengaluru,New,Push,iOS,Women Ethnic,control,0,product_view
2026-01-01,S0000003,C02766,Mumbai,Occasional,Push,iOS,Women Ethnic,control,0,visit
2026-01-01,S0000003,C02766,Mumbai,Occasional,Push,iOS,Women Ethnic,control,0,product_view
2026-01-01,S0000004,C02280,Mumbai,Occasional,Paid Search,Android,Footwear,control,0,visit
2026-01-01,S0000004,C02280,Mumbai,Occasional,Paid Search,Android,Footwear,control,0,product_view
2026-01-01,S0000005,C02051,Bengaluru,Occasional,Affiliate,Android,Footwear,free_shipping_nudge,0,visit
2026-01-01,S0000005,C02051,Bengaluru,Occasional,Affiliate,Android,Footwear,free_shipping_nudge,0,product_view
2026-01-01,S0000006,C01330,Delhi NCR,New,Organic,iOS,Women Ethnic,free_shipping_nudge,0,visit
2026-01-01,S0000006,C01330,Delhi NCR,New,Organic,iOS,Women Ethnic,free_shipping_nudge,0,product_view
2026-01-01,S0000007,C05174,Jaipur,Occasional,Paid Search,Android,Men Casual,free_shipping_nudge,0,visit
2026-01-01,S0000007,C05174,Jaipur,Occasional,Paid Search,Android,Men Casual,free_shipping_nudge,0,product_view
2026-01-01,S0000008,C03297,Pune,Loyal,Organic,Android,Women Ethnic,free_shipping_nudge,0,visit
2026-01-01,S0000008,C03297,Pune,Loyal,Organic,Android,Women Ethnic,free_shipping_nudge,0,product_view
2026-01-01,S0000008,C03297,Pune,Loyal,Organic,Android,Women Ethnic,free_shipping_nudge,0,add_to_cart
2026-01-01,S0000009,C01858,Indore,Occasional,Affiliate,iOS,Footwear,free_shipping_nudge,0,visit
2026-01-01,S0000009,C01858,Indore,Occasional,Affiliate,iOS,Footwear,free_shipping_nudge,0,product_view
2026-01-01,S0000010,C03022,Lucknow,Occasional,Organic,Android,Women Ethnic,control,0,visit
2026-01-01,S0000010,C03022,Lucknow,Occasional,Organic,Android,Women Ethnic,control,0,product_view
2026-01-01,S0000011,C03052,Indore,Occasional,Paid Search,iOS,Beauty,free_shipping_nudge,0,visit
2026-01-01,S0000012,C00699,Delhi NCR,New,Organic,Android,Women Ethnic,free_shipping_nudge,0,visit
2026-01-01,S0000012,C00699,Delhi NCR,New,Organic,Android,Women Ethnic,free_shipping_nudge,0,product_view
2026-01-01,S0000013,C04535,Hyderabad,Occasional,Influencer,Android,Kids,free_shipping_nudge,0,visit
2026-01-01,S0000013,C04535,Hyderabad,Occasional,Influencer,Android,Kids,free_shipping_nudge,0,product_view
2026-01-01,S0000014,C02598,Bengaluru,New,Paid Search,Android,Women Ethnic,control,0,visit
2026-01-01,S0000014,C02598,Bengaluru,New,Paid Search,Android,Women Ethnic,control,0,product_view
2026-01-01,S0000015,C01122,Jaipur,New,Push,Web,Footwear,control,0,visit
2026-01-01,S0000016,C00610,Mumbai,New,Paid Search,Android,Kids,free_shipping_nudge,0,visit
2026-01-01,S0000016,C00610,Mumbai,New,Paid Search,Android,Kids,free_shipping_nudge,0,product_view
2026-01-01,S0000016,C00610,Mumbai,New,Paid Search,Android,Kids,free_shipping_nudge,0,add_to_cart
2026-01-01,S0000016,C00610,Mumbai,New,Paid Search,Android,Kids,free_shipping_nudge,0,checkout_start
2026-01-01,S0000016,C00610,Mumbai,New,Paid Search,Android,Kids,free_shipping_nudge,924,purchase
2026-01-01,S0000017,C04301,Hyderabad,Loyal,Push,Android,Beauty,control,0,visit
2026-01-01,S0000017,C04301,Hyderabad,Loyal,Push,Android,Beauty,control,0,product_view
2026-01-01,S0000017,C04301,Hyderabad,Loyal,Push,Android,Beauty,control,0,add_to_cart
2026-01-01,S0000018,C01497,Jaipur,New,Influencer,Android,Beauty,control,0,visit
2026-01-01,S0000018,C01497,Jaipur,New,Influencer,Android,Beauty,control,0,product_view
2026-01-01,S0000019,C04435,Pune,Loyal,Organic,iOS,Kids,free_shipping_nudge,0,visit
2026-01-01,S0000020,C04474,Bengaluru,Loyal,Paid Search,Android,Men Casual,free_shipping_nudge,0,visit
2026-01-01,S0000020,C04474,Bengaluru,Loyal,Paid Search,Android,Men Casual,free_shipping_nudge,0,product_view
2026-01-01,S0000020,C04474,Bengaluru,Loyal,Paid Search,Android,Men Casual,free_shipping_nudge,0,add_to_cart
2026-01-01,S0000021,C03443,Hyderabad,Occasional,Paid Search,iOS,Women Ethnic,control,0,visit
2026-01-01,S0000021,C03443,Hyderabad,Occasional,Paid Search,iOS,Women Ethnic,control,0,product_view
2026-01-01,S0000022,C00033,Delhi NCR,High Value,Paid Search,Android,Women Ethnic,control,0,visit
2026-01-01,S0000022,C00033,Delhi NCR,High Value,Paid Search,Android,Women Ethnic,control,0,product_view
2026-01-01,S0000022,C00033,Delhi NCR,High Value,Paid Search,Android,Women Ethnic,control,0,add_to_cart
2026-01-01,S0000022,C00033,Delhi NCR,High Value,Paid Search,Android,Women Ethnic,control,0,checkout_start
2026-01-01,S0000023,C02029,Hyderabad,New,Organic,Android,Women Ethnic,free_shipping_nudge,0,visit
2026-01-01,S0000024,C05168,Mumbai,New,Paid Search,iOS,Footwear,control,0,visit
2026-01-01,S0000024,C05168,Mumbai,New,Paid Search,iOS,Footwear,control,0,product_view
2026-01-01,S0000025,C04176,Delhi NCR,Occasional,Paid Search,iOS,Women Ethnic,free_shipping_nudge,0,visit
2026-01-01,S0000025,C04176,Delhi NCR,Occasional,Paid Search,iOS,Women Ethnic,free_shipping_nudge,0,product_view
2026-01-01,S0000026,C01537,Delhi NCR,Loyal,Organic,Android,Men Casual,free_shipping_nudge,0,visit
2026-01-01,S0000026,C01537,Delhi NCR,Loyal,Organic,Android,Men Casual,free_shipping_nudge,0,product_view
2026-01-01,S0000027,C02398,Bengaluru,Occasional,Paid Search,Android,Men Casual,free_shipping_nudge,0,visit
2026-01-01,S0000027,C02398,Bengaluru,Occasional,Paid Search,Android,Men Casual,free_shipping_nudge,0,product_view
2026-01-01,S0000027,C02398,Bengaluru,Occasional,Paid Search,Android,Men Casual,free_shipping_nudge,0,add_to_cart
2026-01-01,S0000028,C01022,Lucknow,High Value,Organic,Android,Footwear,control,0,visit
2026-01-01,S0000028,C01022,Lucknow,High Value,Organic,Android,Footwear,control,0,product_view
2026-01-01,S0000029,C02073,Pune,Occasional,Influencer,iOS,Footwear,free_shipping_nudge,0,visit
2026-01-01,S0000030,C02039,Pune,Occasional,Organic,Web,Women Ethnic,free_shipping_nudge,0,visit
2026-01-01,S0000030,C02039,Pune,Occasional,Organic,Web,Women Ethnic,free_shipping_nudge,0,product_view
2026-01-01,S0000031,C01090,Delhi NCR,High Value,Organic,Android,Kids,control,0,visit
2026-01-01,S0000031,C01090,Delhi NCR,High Value,Organic,Android,Kids,control,0,product_view
2026-01-01,S0000031,C01090,Delhi NCR,High Value,Organic,Android,Kids,control,0,add_to_cart
2026-01-01,S0000032,C03387,Indore,High Value,Organic,Android,Women Ethnic,free_shipping_nudge,0,visit
2026-01-01,S0000032,C03387,Indore,High Value,Organic,Android,Women Ethnic,free_shipping_nudge,0,product_view
2026-01-01,S0000033,C02664,Mumbai,Loyal,Paid Search,Android,Kids,control,0,visit
2026-01-01,S0000033,C02664,Mumbai,Loyal,Paid Search,Android,Kids,control,0,product_view
2026-01-01,S0000034,C01196,Pune,Occasional,Paid Search,iOS,Women Ethnic,free_shipping_nudge,0,visit
2026-01-01,S0000034,C01196,Pune,Occasional,Paid Search,iOS,Women Ethnic,free_shipping_nudge,0,product_view
2026-01-01,S0000035,C02244,Indore,New,Organic,Android,Men Casual,control,0,visit
2026-01-01,S0000035,C02244,Indore,New,Organic,Android,Men Casual,control,0,product_view
2026-01-01,S0000036,C03759,Jaipur,New,Organic,Android,Beauty,control,0,visit
2026-01-01,S0000036,C03759,Jaipur,New,Organic,Android,Beauty,control,0,product_view
2026-01-01,S0000036,C03759,Jaipur,New,Organic,Android,Beauty,control,0,add_to_cart
2026-01-01,S0000037,C03877,Hyderabad,Loyal,Paid Search,Android,Footwear,control,0,visit
2026-01-01,S0000037,C03877,Hyderabad,Loyal,Paid Search,Android,Footwear,control,0,product_view
2026-01-01,S0000038,C02258,Hyderabad,New,Affiliate,Android,Footwear,control,0,visit
2026-01-01,S0000038,C02258,Hyderabad,New,Affiliate,Android,Footwear,control,0,product_view
2026-01-01,S0000038,C02258,Hyderabad,New,Affiliate,Android,Footwear,control,0,add_to_cart
2026-01-01,S0000039,C03981,Jaipur,Loyal,Affiliate,Android,Men Casual,free_shipping_nudge,0,visit
2026-01-01,S0000039,C03981,Jaipur,Loyal,Affiliate,Android,Men Casual,free_shipping_nudge,0,product_view
2026-01-01,S0000039,C03981,Jaipur,Loyal,Affiliate,Android,Men Casual,free_shipping_nudge,0,add_to_cart
2026-01-01,S0000039,C03981,Jaipur,Loyal,Affiliate,Android,Men Casual,free_shipping_nudge,0,checkout_start
2026-01-01,S0000039,C03981,Jaipur,Loyal,Affiliate,Android,Men Casual,free_shipping_nudge,2398,purchase
2026-01-01,S0000040,C03308,Delhi NCR,New,Paid Search,iOS,Women Ethnic,control,0,visit
2026-01-01,S0000040,C03308,Delhi NCR,New,Paid Search,iOS,Women Ethnic,control,0,product_view
2026-01-01,S0000041,C04555,Delhi NCR,Occasional,Influencer,Web,Footwear,free_shipping_nudge,0,visit
2026-01-01,S0000041,C04555,Delhi NCR,Occasional,Influencer,Web,Footwear,free_shipping_nudge,0,product_view
2026-01-01,S0000042,C00028,Lucknow,New,Organic,iOS,Women Ethnic,free_shipping_nudge,0,visit
2026-01-01,S0000042,C00028,Lucknow,New,Organic,iOS,Women Ethnic,free_shipping_nudge,0,product_view
