order_id,order_date,session_id,customer_id,city,category,channel,experiment_group,order_value,discount_pct,delivery_days
O000001,2026-01-01,S0000016,C00610,Mumbai,Kids,Paid Search,free_shipping_nudge,924,0,2
O000002,2026-01-01,S0000039,C03981,Jaipur,Men Casual,Affiliate,free_shipping_nudge,2398,20,3
O000003,2026-01-01,S0000044,C04803,Delhi NCR,Women Ethnic,Paid Search,free_shipping_nudge,2450,5,3
O000004,2026-01-01,S0000047,C00595,Delhi NCR,Women Ethnic,Affiliate,free_shipping_nudge,2537,0,3
O000005,2026-01-01,S0000076,C02013,Pune,Men Casual,Influencer,free_shipping_nudge,1695,15,2
O000006,2026-01-01,S0000084,C05072,Hyderabad,Beauty,Influencer,free_shipping_nudge,1275,5,3
O000007,2026-01-01,S0000095,C01014,Lucknow,Beauty,Influencer,free_shipping_nudge,643,10,2
O000008,2026-01-01,S0000104,C01596,Bengaluru,Women Ethnic,Influencer,free_shipping_nudge,1652,0,6
O000009,2026-01-01,S0000127,C01135,Delhi NCR,Beauty,Paid Search,free_shipping_nudge,1007,25,1
O000010,2026-01-01,S0000142,C00548,Pune,Footwear,Organic,free_shipping_nudge,2363,10,3
O000011,2026-01-01,S0000223,C00808,Bengaluru,Women Ethnic,Paid Search,free_shipping_nudge,3061,30,5
O000012,2026-01-01,S0000259,C04327,Bengaluru,Beauty,Paid Search,free_shipping_nudge,1430,30,2
O000013,2026-01-01,S0000273,C01144,Bengaluru,Women Ethnic,Paid Search,free_shipping_nudge,1849,5,6
O000014,2026-01-01,S0000278,C04164,Mumbai,Women Ethnic,Push,free_shipping_nudge,2763,10,5
O000015,2026-01-02,S0000310,C04690,Delhi NCR,Men Casual,Organic,free_shipping_nudge,2187,25,5
O000016,2026-01-02,S0000323,C03347,Mumbai,Footwear,Push,control,1390,10,2
O000017,2026-01-02,S0000325,C04361,Bengaluru,Women Ethnic,Paid Search,free_shipping_nudge,2322,30,2
O000018,2026-01-02,S0000342,C03943,Bengaluru,Beauty,Organic,control,1188,0,6
O000019,2026-01-02,S0000343,C04901,Hyderabad,Beauty,Affiliate,control,643,5,5
O000020,2026-01-02,S0000408,C00100,Lucknow,Women Ethnic,Affiliate,control,2046,20,6
O000021,2026-01-02,S0000417,C02738,Delhi NCR,Men Casual,Organic,free_shipping_nudge,1887,0,4
O000022,2026-01-02,S0000454,C03157,Pune,Women Ethnic,Affiliate,control,1654,30,6
O000023,2026-01-02,S0000473,C03404,Delhi NCR,Footwear,Organic,control,2256,25,1
O000024,2026-01-02,S0000544,C01112,Delhi NCR,Women Ethnic,Organic,control,1482,25,4
O000025,2026-01-02,S0000548,C00735,Jaipur,Beauty,Affiliate,control,886,20,3
O000026,2026-01-02,S0000594,C01187,Bengaluru,Women Ethnic,Organic,free_shipping_nudge,2123,0,3
O000027,2026-01-02,S0000597,C05022,Delhi NCR,Men Casual,Influencer,control,1993,0,6
O000028,2026-01-02,S0000623,C04764,Jaipur,Beauty,Paid Search,control,753,20,2
O000029,2026-01-02,S0000653,C04679,Bengaluru,Men Casual,Organic,free_shipping_nudge,1841,15,1
O000030,2026-01-02,S0000658,C01743,Pune,Kids,Influencer,free_shipping_nudge,1589,15,6
O000031,2026-01-02,S0000662,C02798,Mumbai,Women Ethnic,Influencer,control,1863,5,6
O000032,2026-01-02,S0000681,C01008,Hyderabad,Women Ethnic,Paid Search,control,1945,25,5
O000033,2026-01-02,S0000683,C04912,Bengaluru,Men Casual,Organic,free_shipping_nudge,2191,15,1
O000034,2026-01-03,S0000693,C00840,Delhi NCR,Women Ethnic,Organic,control,2379,30,1
O000035,2026-01-03,S0000702,C01823,Hyderabad,Footwear,Organic,control,2286,0,5
O000036,2026-01-03,S0000706,C00544,Mumbai,Women Ethnic,Influencer,free_shipping_nudge,2234,20,6
O000037,2026-01-03,S0000720,C04666,Delhi NCR,Women Ethnic,Push,control,1845,5,2
O000038,2026-01-03,S0000759,C01440,Indore,Women Ethnic,Affiliate,free_shipping_nudge,2884,25,3
O000039,2026-01-03,S0000788,C03823,Mumbai,Footwear,Paid Search,control,1358,20,2
O000040,2026-01-03,S0000792,C04881,Bengaluru,Kids,Influencer,control,1253,15,5
O000041,2026-01-03,S0000808,C00911,Hyderabad,Women Ethnic,Push,free_shipping_nudge,2408,20,4
O000042,2026-01-03,S0000817,C03676,Hyderabad,Men Casual,Organic,free_shipping_nudge,1810,10,2
O000043,2026-01-03,S0000858,C05097,Hyderabad,Kids,Organic,control,1003,15,2
O000044,2026-01-03,S0000872,C03915,Jaipur,Women Ethnic,Push,free_shipping_nudge,1727,30,6
O000045,2026-01-03,S0000877,C00111,Bengaluru,Beauty,Influencer,free_shipping_nudge,1125,30,3
O000046,2026-01-03,S0000879,C00323,Bengaluru,Women Ethnic,Organic,free_shipping_nudge,1646,10,4
O000047,2026-01-03,S0000934,C04747,Jaipur,Kids,Affiliate,free_shipping_nudge,1077,20,6
O000048,2026-01-03,S0000969,C02537,Bengaluru,Women Ethnic,Affiliate,control,1609,15,1
O000049,2026-01-04,S0001004,C00719,Pune,Beauty,Paid Search,free_shipping_nudge,1068,30,6
O000050,2026-01-04,S0001042,C02214,Indore,Women Ethnic,Influencer,free_shipping_nudge,2060,20,1
O000051,2026-01-04,S0001061,C00416,Delhi NCR,Footwear,Organic,control,3012,25,5
O000052,2026-01-04,S0001065,C02928,Mumbai,Women Ethnic,Paid Search,control,1359,20,5
O000053,2026-01-04,S0001070,C00398,Hyderabad,Beauty,Push,free_shipping_nudge,640,15,6
O000054,2026-01-04,S0001093,C04861,Jaipur,Beauty,Affiliate,free_shipping_nudge,783,20,1
O000055,2026-01-04,S0001096,C04302,Hyderabad,Women Ethnic,Organic,control,2401,25,5
O000056,2026-01-04,S0001120,C02084,Bengaluru,Beauty,Influencer,control,1198,15,6
O000057,2026-01-04,S0001149,C04382,Delhi NCR,Men Casual,Influencer,control,1341,10,4
O000058,2026-01-04,S0001158,C05030,Delhi NCR,Footwear,Push,control,1434,25,2
O000059,2026-01-04,S0001176,C00832,Pune,Men Casual,Push,free_shipping_nudge,1760,25,2
O000060,2026-01-04,S0001184,C03699,Mumbai,Kids,Organic,free_shipping_nudge,1286,15,1
O000061,2026-01-04,S0001188,C04371,Delhi NCR,Footwear,Organic,free_shipping_nudge,1436,0,1
O000062,2026-01-04,S0001193,C01644,Hyderabad,Women Ethnic,Affiliate,control,2132,0,4
O000063,2026-01-04,S0001205,C02762,Bengaluru,Women Ethnic,Paid Search,control,911,25,4
O000064,2026-01-04,S0001214,C03374,Hyderabad,Men Casual,Influencer,free_shipping_nudge,1721,15,4
O000065,2026-01-04,S0001215,C01381,Pune,Women Ethnic,Influencer,free_shipping_nudge,1987,0,5
O000066,2026-01-04,S0001234,C03427,Bengaluru,Beauty,Organic,free_shipping_nudge,1088,15,6
O000067,2026-01-04,S0001241,C01745,Delhi NCR,Women Ethnic,Organic,free_shipping_nudge,1105,5,5
O000068,2026-01-04,S0001243,C05057,Indore,Beauty,Paid Search,control,487,15,4
O000069,2026-01-04,S0001245,C03134,Delhi NCR,Beauty,Paid Search,control,1060,20,2
O000070,2026-01-04,S0001257,C03906,Indore,Beauty,Paid Search,free_shipping_nudge,1446,15,6
O000071,2026-01-04,S0001258,C04482,Mumbai,Beauty,Paid Search,free_shipping_nudge,895,10,5
O000072,2026-01-04,S0001271,C02360,Delhi NCR,Footwear,Push,control,1911,20,4
O000073,2026-01-04,S0001274,C02618,Mumbai,Footwear,Influencer,control,2708,30,6
O000074,2026-01-05,S0001319,C02987,Jaipur,Women Ethnic,Paid Search,free_shipping_nudge,2654,15,1
O000075,2026-01-05,S0001324,C01666,Bengaluru,Women Ethnic,Organic,control,1769,15,4
O000076,2026-01-05,S0001336,C01473,Mumbai,Beauty,Organic,control,963,5,5
O000077,2026-01-05,S0001357,C03664,Hyderabad,Beauty,Affiliate,control,1226,5,1
O000078,2026-01-05,S0001397,C04556,Bengaluru,Beauty,Organic,free_shipping_nudge,796,10,3
O000079,2026-01-05,S0001437,C00409,Pune,Men Casual,Affiliate,control,1434,0,5
O000080,2026-01-05,S0001483,C02360,Delhi NCR,Women Ethnic,Organic,control,1794,30,1
O000081,2026-01-05,S0001498,C00137,Mumbai,Beauty,Push,free_shipping_nudge,1191,30,6
O000082,2026-01-05,S0001503,C04694,Pune,Women Ethnic,Push,free_shipping_nudge,1809,30,1
O000083,2026-01-05,S0001516,C00226,Mumbai,Kids,Push,control,1061,30,4
O000084,2026-01-05,S0001523,C00111,Bengaluru,Footwear,Organic,free_shipping_nudge,1540,25,3
O000085,2026-01-05,S0001531,C04067,Mumbai,Men Casual,Organic,control,2955,5,1
O000086,2026-01-05,S0001549,C02920,Delhi NCR,Men Casual,Push,control,1465,25,1
O000087,2026-01-05,S0001594,C00704,Mumbai,Footwear,Paid Search,free_shipping_nudge,2296,20,6
O000088,2026-01-05,S0001605,C00161,Lucknow,Beauty,Paid Search,free_shipping_nudge,1189,15,6
O000089,2026-01-05,S0001606,C04195,Lucknow,Women Ethnic,Push,free_shipping_nudge,1673,25,5
O000090,2026-01-05,S0001615,C03823,Mumbai,Women Ethnic,Organic,control,1540,5,6
O000091,2026-01-06,S0001662,C01539,Delhi NCR,Men Casual,Paid Search,control,1663,25,4
O000092,2026-01-06,S0001668,C00213,Lucknow,Kids,Push,free_shipping_nudge,1654,20,3
O000093,2026-01-06,S0001700,C01173,Lucknow,Beauty,Organic,control,1284,15,5
O000094,2026-01-06,S0001707,C02462,Bengaluru,Women Ethnic,Organic,control,1973,25,1
O000095,2026-01-06,S0001714,C04043,Delhi NCR,Women Ethnic,Organic,control,1816,20,2
O000096,2026-01-06,S0001734,C00435,Hyderabad,Beauty,Organic,free_shipping_nudge,1238,15,2
O000097,2026-01-06,S0001736,C02119,Lucknow,Men Casual,Push,free_shipping_nudge,2369,5,3
O000098,2026-01-06,S0001745,C04677,Lucknow,Women Ethnic,Organic,free_shipping_nudge,1396,30,6
O000099,2026-01-06,S0001749,C01706,Bengaluru,Women Ethnic,Affiliate,control,1419,5,6
O000100,2026-01-06,S0001750,C03758,Indore,Women Ethnic,Organic,control,1371,0,1
O000101,2026-01-06,S0001762,C03158,Delhi NCR,Men Casual,Paid Search,free_shipping_nudge,1749,20,1
O000102,2026-01-06,S0001763,C04857,Bengaluru,Women Ethnic,Organic,free_shipping_nudge,1825,5,4
O000103,2026-01-06,S0001783,C01711,Mumbai,Beauty,Paid Search,control,1424,30,3
O000104,2026-01-06,S0001784,C02038,Pune,Beauty,Push,control,989,5,1
O000105,2026-01-06,S0001787,C03094,Hyderabad,Women Ethnic,Paid Search,control,2055,0,3
O000106,2026-01-06,S0001839,C00911,Hyderabad,Beauty,Push,control,1601,10,3
O000107,2026-01-06,S0001864,C04623,Mumbai,Kids,Push,control,610,0,2
O000108,2026-01-06,S0001870,C01881,Mumbai,Footwear,Affiliate,control,3078,20,4
O000109,2026-01-06,S0001874,C04406,Mumbai,Footwear,Influencer,free_shipping_nudge,1891,10,1
O000110,2026-01-06,S0001880,C00527,Delhi NCR,Kids,Paid Search,control,1253,25,3
O000111,2026-01-06,S0001929,C01384,Hyderabad,Footwear,Affiliate,control,1663,25,1
O000112,2026-01-06,S0001937,C03787,Mumbai,Women Ethnic,Influencer,free_shipping_nudge,1679,10,5
O000113,2026-01-06,S0001959,C04215,Lucknow,Footwear,Influencer,free_shipping_nudge,2860,10,1
O000114,2026-01-07,S0002003,C00118,Lucknow,Men Casual,Push,control,1523,20,5
O000115,2026-01-07,S0002005,C00655,Pune,Beauty,Organic,free_shipping_nudge,738,25,5
O000116,2026-01-07,S0002050,C03920,Jaipur,Beauty,Organic,free_shipping_nudge,613,30,1
O000117,2026-01-07,S0002054,C01235,Delhi NCR,Women Ethnic,Organic,free_shipping_nudge,1620,20,3
O000118,2026-01-07,S0002059,C03267,Delhi NCR,Men Casual,Affiliate,free_shipping_nudge,1253,20,1
O000119,2026-01-07,S0002069,C03252,Mumbai,Men Casual,Influencer,control,1064,0,6
O000120,2026-01-07,S0002073,C04523,Bengaluru,Women Ethnic,Affiliate,control,776,20,6
O000121,2026-01-07,S0002125,C00079,Lucknow,Footwear,Push,control,2001,25,5
O000122,2026-01-07,S0002149,C00786,Hyderabad,Men Casual,Influencer,control,1501,15,2
O000123,2026-01-07,S0002152,C04975,Mumbai,Men Casual,Affiliate,free_shipping_nudge,1016,0,5
O000124,2026-01-07,S0002179,C02914,Jaipur,Men Casual,Push,control,1323,0,3
O000125,2026-01-07,S0002221,C04493,Indore,Beauty,Influencer,control,769,15,6
O000126,2026-01-08,S0002271,C02961,Bengaluru,Footwear,Push,free_shipping_nudge,1653,20,2
O000127,2026-01-08,S0002323,C02692,Lucknow,Beauty,Influencer,control,1083,15,5
O000128,2026-01-08,S0002325,C03507,Lucknow,Men Casual,Paid Search,free_shipping_nudge,1664,20,6
O000129,2026-01-08,S0002351,C04808,Pune,Footwear,Organic,free_shipping_nudge,1042,20,3
O000130,2026-01-08,S0002356,C01254,Hyderabad,Men Casual,Influencer,control,2646,25,2
O000131,2026-01-08,S0002367,C04521,Lucknow,Women Ethnic,Organic,free_shipping_nudge,1645,25,2
O000132,2026-01-08,S0002388,C01760,Lucknow,Kids,Affiliate,control,706,10,3
O000133,2026-01-08,S0002395,C04141,Delhi NCR,Beauty,Organic,control,459,30,3
O000134,2026-01-08,S0002441,C02177,Delhi NCR,Kids,Influencer,control,1363,25,4
O000135,2026-01-08,S0002473,C04676,Delhi NCR,Beauty,Affiliate,free_shipping_nudge,922,0,6
O000136,2026-01-08,S0002478,C04522,Jaipur,Women Ethnic,Influencer,control,2727,25,3
O000137,2026-01-08,S0002482,C03377,Delhi NCR,Men Casual,Organic,control,2594,25,3
O000138,2026-01-08,S0002500,C01799,Jaipur,Beauty,Organic,free_shipping_nudge,1133,25,6
O000139,2026-01-08,S0002527,C04970,Hyderabad,Beauty,Push,control,766,5,3
O000140,2026-01-08,S0002528,C02503,Mumbai,Women Ethnic,Organic,free_shipping_nudge,1860,25,3
O000141,2026-01-08,S0002548,C00075,Jaipur,Kids,Organic,control,780,10,6
O000142,2026-01-08,S0002553,C04114,Hyderabad,Men Casual,Push,control,2055,30,1
O000143,2026-01-09,S0002584,C01115,Delhi NCR,Men Casual,Affiliate,free_shipping_nudge,2314,5,3
O000144,2026-01-09,S0002593,C02268,Bengaluru,Kids,Organic,control,1351,0,3
O000145,2026-01-09,S0002616,C01442,Bengaluru,Kids,Paid Search,free_shipping_nudge,1282,20,1
O000146,2026-01-09,S0002633,C03751,Jaipur,Beauty,Push,free_shipping_nudge,909,20,5
O000147,2026-01-09,S0002645,C01916,Indore,Beauty,Organic,free_shipping_nudge,984,20,2
O000148,2026-01-09,S0002675,C03721,Delhi NCR,Women Ethnic,Affiliate,free_shipping_nudge,1298,5,3
O000149,2026-01-09,S0002677,C04929,Delhi NCR,Women Ethnic,Influencer,control,2591,20,1
O000150,2026-01-09,S0002693,C02840,Lucknow,Beauty,Paid Search,control,978,25,2
O000151,2026-01-09,S0002703,C02532,Jaipur,Kids,Influencer,control,1059,15,3
O000152,2026-01-09,S0002732,C02238,Mumbai,Women Ethnic,Paid Search,free_shipping_nudge,1177,10,4
O000153,2026-01-09,S0002749,C01458,Mumbai,Women Ethnic,Organic,free_shipping_nudge,2372,5,6
O000154,2026-01-09,S0002753,C04400,Indore,Men Casual,Organic,control,1893,30,1
O000155,2026-01-09,S0002763,C03141,Mumbai,Beauty,Organic,control,1201,25,4
O000156,2026-01-09,S0002778,C04330,Mumbai,Men Casual,Paid Search,control,1696,10,2
O000157,2026-01-09,S0002787,C05176,Delhi NCR,Beauty,Influencer,free_shipping_nudge,476,5,5
O000158,2026-01-09,S0002805,C04140,Lucknow,Kids,Organic,free_shipping_nudge,1580,30,4
O000159,2026-01-09,S0002815,C03218,Jaipur,Women Ethnic,Paid Search,free_shipping_nudge,1901,25,2
O000160,2026-01-09,S0002829,C03950,Delhi NCR,Men Casual,Organic,control,1577,5,1
O000161,2026-01-09,S0002842,C00573,Mumbai,Men Casual,Influencer,free_shipping_nudge,2198,5,4
O000162,2026-01-09,S0002852,C03544,Delhi NCR,Women Ethnic,Paid Search,free_shipping_nudge,2438,30,6
O000163,2026-01-09,S0002864,C03407,Delhi NCR,Beauty,Organic,free_shipping_nudge,1402,25,2
O000164,2026-01-09,S0002876,C02973,Delhi NCR,Beauty,Organic,control,576,10,4
O000165,2026-01-10,S0002919,C04690,Delhi NCR,Women Ethnic,Influencer,free_shipping_nudge,1309,20,2
O000166,2026-01-10,S0002921,C01435,Mumbai,Men Casual,Organic,free_shipping_nudge,1403,25,1
O000167,2026-01-10,S0002929,C01986,Bengaluru,Men Casual,Affiliate,control,1749,30,4
O000168,2026-01-10,S0002966,C02553,Indore,Beauty,Paid Search,free_shipping_nudge,838,30,2
O000169,2026-01-10,S0002993,C00966,Hyderabad,Beauty,Affiliate,control,777,0,6
O000170,2026-01-10,S0003011,C01909,Mumbai,Beauty,Organic,free_shipping_nudge,865,15,5
O000171,2026-01-10,S0003102,C01063,Bengaluru,Women Ethnic,Organic,control,1776,0,6
